cariver,castate,codenver4all,fl7all,instate,mdstate,mistate,ncstate,njstate,ohstate,orstate,pastate,set1,set2,set3,set4,set5,txstate
,,COLASANIMAS,FLCOLUMBIA,,,,NCCASWELL,,OHADAMS,,,IDBUTTE,,MTFERGUS,KYOWEN,OKWASHITA,TXBANDERA
,,COPROWERS,FLGLADES,,,,NCSCOTLAND,,OHWILLIAMS,,,IDADAMS,,SCBARNWELL,KYHENRY,WAJEFFERSON,TXLEE
,,CORIOGRANDE,FLMADISON,,,,NCYANCEY,,OHPUTNAM,,,IDCARIBOU,,ARPHILLIPS,KYHANCOCK,OKELLIS,TXTYLER
,,COARAPAHOE,FLBAKER,,,,NCBLADEN,,OHVANWERT,,,MOLEWIS,,NESALINE,KYMAGOFFIN,WASANJUAN,TXWOOD
,,CODENVER,FLPALMBEACH,,,,NCCLAY,,OHHOCKING,,,MOAUDRAIN,,NEDAKOTA,KYCARLISLE,OKLATIMER,TXVANZANDT
,,,,,,,NCPERQUIMANS,,OHMONROE,,,NVSTOREY,,TNJOHNSON,KSBUTLER,WVTUCKER,TXNACOGDOCHES
,,,,,,,NCSWAIN,,,,,MOSAINTCLAIR,,SCCALHOUN,KYADAIR,WAADAMS,TXWALKER
,,,,,,,NCCHOWAN,,,,,MOJOHNSON,,ARHOWARD,KYLEWIS,OKJEFFERSON,TXMORRIS
,,,,,,,NCCAMDEN,,,,,NVEUREKA,,MTMCCONE,NMCIBOLA,WVHARDY,TXGRIMES
,,,,,,,NCMARTIN,,,,,MOADAIR,,ARRANDOLPH,NMHARDING,OKBEAVER,TXTITUS
,,,,,,,,,,,,MOCEDAR,,ALBIBB,,WYGOSHEN,TXMONTAGUE
,,,,,,,,,,,,MODALLAS,,NEYORK,,OKGREER,TXBLANCO
,,,,,,,,,,,,MODOUGLAS,,MTDAWSON,,OKCIMARRON,TXWILLACY
,,,,,,,,,,,,MOJEFFERSON,,NEGAGE,,WASKAMANIA,TXSHELBY
,,,,,,,,,,,,MONEWMADRID,,TNMCNAIRY,,OKMAYES,TXREDRIVER
,,,,,,,,,,,,NVHUMBOLDT,,NEPIERCE,,UTBEAVER,TXJACKSON
,,,,,,,,,,,,NVWHITEPINE,,NEBURT,,WIBURNETT,TXEASTLAND
,,,,,,,,,,,,,,NEMERRICK,,WIWINNEBAGO,TXHUDSPETH
,,,,,,,,,,,,,,MTTOOLE,,WVBARBOUR,TXYOAKUM
,,,,,,,,,,,,,,TNLEWIS,,WVBOONE,TXMASON
,,,,,,,,,,,,,,NEBROWN,,WVNICHOLAS,TXARCHER
,,,,,,,,,,,,,,NECLAY,,WVWAYNE,TXBURLESON
,,,,,,,,,,,,,,SCALLENDALE,,WYWASHAKIE,TXLASALLE
,,,,,,,,,,,,,,NEKEITH,,,TXDEWITT
,,,,,,,,,,,,,,NEPAWNEE,,,TXIRION
,,,,,,,,,,,,,,NESTANTON,,,TXSANSABA
,,,,,,,,,,,,,,MTLIBERTY,,,TXGLASSCOCK
,,,,,,,,,,,,,,NESEWARD,,,TXFRIO
,,,,,,,,,,,,,,ALCOLBERT,,,TXANGELINA
,,,,,,,,,,,,,,ALDALE,,,TXARANSAS
,,,,,,,,,,,,,,ALFAYETTE,,,TXCROCKETT
,,,,,,,,,,,,,,ALLIMESTONE,,,TXCROSBY
,,,,,,,,,,,,,,ALMONROE,,,TXDONLEY
,,,,,,,,,,,,,,ALTALLADEGA,,,TXFREESTONE
,,,,,,,,,,,,,,ARGRANT,,,TXGAINES
,,,,,,,,,,,,,,MTGRANITE,,,TXGILLESPIE
