classify_model/cariver,classify_model/flpalmbeach,classify_model/flsaintlucie,classify_model/codenver4all,classify_model/fl7all,classify_model/castate,classify_model/mistate,classify_model/njstate,classify_model/ohstate,classify_model/pastate,classify_model/instate,classify_model/mdstate,classify_model/txstate,classify_model/ncstate,classify_model/orstate,classify_model/set1,classify_model/set2,classify_model/set3,classify_model/set4,classify_model/set5
,,,,,,,,oh harrison,pa juniata,in howard,,tx cass,nc forsyth,or washington,id minidoka,il hancock,sc marlboro,ky fayette,ok beckham
,,,,,,,,oh henry,pa lackawanna,in huntington,,tx castro,nc franklin,or wheeler,id nez perce,il hardin,sc mccormick,ky fleming,ok blaine
,,,,,,,,oh highland,pa lancaster,in jackson,,tx chambers,nc gaston,or yamhill,id oneida,il henderson,sc newberry,ky floyd,ok bryan
,,,,,,,,oh hocking,pa lawrence,in jasper,,tx cherokee,nc gates,,id owyhee,il henry,sc oconee,ky franklin,ok caddo
,,,,,,,,oh holmes,pa lebanon,in jay,,tx childress,nc graham,,id payette,il iroquois,sc orangeburg,ky fulton,ok canadian
,,,,,,,,oh huron,pa lehigh,in jefferson,,tx clay,nc granville,,id power,il jackson,sc pickens,ky gallatin,ok carter
,,,,,,,,oh jackson,pa luzerne,in jennings,,tx cochran,nc greene,,id shoshone,il jasper,sc richland,ky garrard,ok cherokee
,,,,,,,,oh jefferson,pa lycoming,in johnson,,tx coke,nc guilford,,id teton,il jefferson,sc saluda,ky grant,ok choctaw
,,,,,,,,oh knox,pa mc kean,in knox,,tx coleman,nc halifax,,id twin falls,il jersey,sc spartanburg,ky graves,ok cimarron
,,,,,,,,oh lake,pa merce,in kosciusko,,tx collin,nc harnett,,id valley,il jo daviess,sc sumter,ky grayson,ok cleveland
,,,,,,,,oh lawrence,pa mifflin,in la porte,,tx collingsworth,nc haywood,,id washington,il johnson,sc union,ky green,ok coal
,,,,,,,,oh licking,pa monroe,in lagrange,,tx colorado,nc henderson,,mo adair,il kane,sc williamsburg,ky greenup,ok comanche
,,,,,,,,oh logan,pa montgomery,in lake,,tx comal,nc hertford,,mo andrew,il kankakee,sc york,ky hancock,ok cotton
,,,,,,,,oh lorain,pa montour,in lawrence,,tx comanche,nc hoke,,mo atchison,il kendall,tn anderson,ky hardin,ok craig
,,,,,,,,oh lucas,pa northampton,in madison,,tx concho,nc hyde,,mo audrain,il knox,tn bedford,ky harlan,ok creek
,,,,,,,,oh madison,pa northumberland,in marion,,tx cooke,nc iredell,,mo barry,il la salle,tn benton,ky harrison,ok custer
,,,,,,,,oh mahoning,pa perry,in marshall,,tx coryell,nc jackson,,mo barton,il lake,tn bledsoe,ky hart,ok delaware
,,,,,,,,oh marion,pa philadelphia,in martin,,tx cottle,nc johnston,,mo bates,il lawrence,tn blount,ky henderson,ok dewey
,,,,,,,,oh medina,pa pike,in miami,,tx crane,nc jones,,mo benton,il lee,tn bradley,ky henry,ok ellis
,,,,,,,,oh meigs,pa potter,in monroe,,tx crockett,nc lee,,mo bollinger,il livingston,tn campbell,ky hickman,ok garfield
,,,,,,,,oh mercer,pa schuylkill,in montgomery,,tx crosby,nc lenoir,,mo boone,il logan,tn cannon,ky hopkins,ok garvin
,,,,,,,,oh miami,pa snyder,in morgan,,tx culberson,nc lincoln,,mo buchanan,il macon,tn carroll,ky jackson,ok grady
,,,,,,,,oh monroe,pa somerset,in newton,,tx dallam,nc macon,,mo butler,il macoupin,tn carter,ky jefferson,ok grant
,,,,,,,,oh montgomery,pa sullivan,in noble,,tx dallas,nc madison,,mo caldwell,il madison,tn cheatham,ky jessamine,ok greer
,,,,,,,,oh morgan,pa susquehanna,in ohio,,tx dawson,nc martin,,mo callaway,il marion,tn chester,ky johnson,ok harmon
,,,,,,,,oh morrow,pa tioga,in orange,,tx deaf smith,nc mcdowell,,mo camden,il marshall,tn claiborne,ky kenton,ok harper
,,,,,,,,oh muskingum,pa union,in owen,,tx delta,nc mecklenburg,,mo cape girardeau,il mason,tn clay,ky knott,ok haskell
,,,,,,,,oh noble,pa venango,in parke,,tx denton,nc mitchell,,mo carroll,il massac,tn cocke,ky knox,ok hughes
,,,,,,,,oh ottawa,pa warren,in perry,,tx dewitt,nc montgomery,,mo carter,il mcdonough,tn coffee,ky larue,ok jackson
,,,,,,,,oh paulding,pa washington,in pike,,tx dickens,nc moore,,mo cass,il mchenry,tn crockett,ky laurel,ok jefferson
,,,,,,,,oh perry,pa wayne,in porter,,tx dimmit,nc nash,,mo cedar,il mclean,tn cumberland,ky lawrence,ok johnston
,,,,,,,,oh pickaway,pa westmoreland,in posey,,tx donley,nc new hanover,,mo chariton,il menard,tn davidson,ky lee,ok kay
,,,,,,,,oh pike,pa wyoming,in pulaski,,tx duval,nc northampton,,mo christian,il mercer,tn de kalb,ky leslie,ok kingfisher
,,,,,,,,oh portage,pa york,in putnam,,tx eastland,nc onslow,,mo clark,il monroe,tn decatur,ky letcher,ok kiowa
,,,,,,,,oh preble,,in randolph,,tx ector,nc orange,,mo clay,il montgomery,tn dickson,ky lewis,ok latimer
,,,,,,,,oh putnam,,in ripley,,tx edwards,nc pamlico,,mo clinton,il morgan,tn dyer,ky lincoln,ok le flore
,,,,,,,,oh richland,,in rush,,tx el paso,nc pasquotank,,mo cole,il moultrie,tn fayette,ky livingston,ok lincoln
,,,,,,,,oh ross,,in scott,,tx ellis,nc pender,,mo cooper,il ogle,tn fentress,ky logan,ok logan
,,,,,,,,oh sandusky,,in shelby,,tx erath,nc perquimans,,mo crawford,il peoria,tn franklin,ky lyon,ok love
,,,,,,,,oh scioto,,in spencer,,tx falls,nc person,,mo dade,il perry,tn gibson,ky madison,ok major
,,,,,,,,oh seneca,,in saint joseph,,tx fannin,nc pitt,,mo dallas,il piatt,tn giles,ky magoffin,ok marshall
,,,,,,,,oh shelby,,in starke,,tx fayette,nc polk,,mo daviess,il pike,tn grainger,ky marion,ok mayes
,,,,,,,,oh stark,,in steuben,,tx fisher,nc randolph,,mo dekalb,il pope,tn greene,ky marshall,ok mcclain
,,,,,,,,oh summit,,in sullivan,,tx floyd,nc richmond,,mo dent,il pulaski,tn grundy,ky martin,ok mccurtain
,,,,,,,,oh trumbull,,in switzerland,,tx foard,nc robeson,,mo douglas,il putnam,tn hamblen,ky mason,ok mcintosh
,,,,,,,,oh tuscarawas,,in tippecanoe,,tx fort bend,nc rockingham,,mo dunklin,il randolph,tn hamilton,ky mccracken,ok murray
,,,,,,,,oh union,,in tipton,,tx franklin,nc rowan,,mo franklin,il richland,tn hancock,ky mccreary,ok muskogee
,,,,,,,,oh van wert,,in union,,tx freestone,nc rutherford,,mo gasconade,il rock island,tn hardeman,ky mclean,ok noble
,,,,,,,,oh vinton,,in vanderburgh,,tx frio,nc sampson,,mo gentry,il saline,tn hardin,ky meade,ok nowata
,,,,,,,,oh warren,,in vermillion,,tx gaines,nc scotland,,mo greene,il sangamon,tn hawkins,ky menifee,ok okfuskee
,,,,,,,,oh washington,,in vigo,,tx galveston,nc stanly,,mo grundy,il schuyler,tn haywood,ky mercer,ok oklahoma
,,,,,,,,oh wayne,,in wabash,,tx garza,nc stokes,,mo harrison,il scott,tn henderson,ky metcalfe,ok okmulgee
,,,,,,,,oh williams,,in warren,,tx gillespie,nc surry,,mo henry,il shelby,tn henry,ky monroe,ok osage
